Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Not Appl.
DATE       : 27/04/2022
TIME       : 18:30:08
FILENAME   : G:\My Drive\Kinrooi_FieldData\DiverOffice\20220421_3\CSV\Barodiver_220427183008_BY222.CSV
CREATED BY : Diver-Office 11.2.0.10
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =TD-Diver=19
  Status                  =Started =0
  Serial number           =BB00-BY222  219.
  Instrument number       =          UTC+2
                          =0
  Location                =Barodiver
  Sample period           =H01
  Sample method           =T
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =750.000   cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =BB00-BY222  219.
  Instrument number       =          UTC+2
  Location                =Barodiver
  Sample period           =00 01:00:00 0
  Sample method           =T
  Start date / time       =00:00:06 04/07/20
  End date / time         =00:00:15 30/03/22
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =750.000   cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Pressure[cmH2O],Temperature[°C]
2020/07/04 06:00:00,1032.450,16.010
2020/07/04 07:00:00,1032.100,16.307
2020/07/04 08:00:00,1032.225,16.847
2020/07/04 09:00:00,1031.975,17.863
2020/07/04 10:00:00,1031.800,18.923
2020/07/04 11:00:00,1031.750,20.770
2020/07/04 12:00:00,1031.400,19.603
2020/07/04 13:00:00,1031.625,21.487
2020/07/04 14:00:00,1031.625,21.620
2020/07/04 15:00:00,1031.275,21.277
2020/07/04 16:00:00,1031.275,21.487
2020/07/04 17:00:00,1031.150,21.580
2020/07/04 18:00:00,1030.975,21.457
2020/07/04 19:00:00,1030.450,20.910
2020/07/04 20:00:00,1030.350,20.590
2020/07/04 21:00:00,1029.800,20.300
2020/07/04 22:00:00,1030.050,19.987
2020/07/04 23:00:00,1029.625,18.457
2020/07/05 00:00:00,1029.400,18.707
2020/07/05 01:00:00,1029.175,19.027
2020/07/05 02:00:00,1028.875,19.270
2020/07/05 03:00:00,1028.700,18.963
2020/07/05 04:00:00,1028.175,18.377
2020/07/05 05:00:00,1028.050,18.237
2020/07/05 06:00:00,1027.700,18.377
2020/07/05 07:00:00,1027.925,18.697
2020/07/05 08:00:00,1028.175,19.237
2020/07/05 09:00:00,1028.475,19.840
2020/07/05 10:00:00,1028.475,20.840
2020/07/05 11:00:00,1028.575,21.003
2020/07/05 12:00:00,1028.575,20.363
2020/07/05 13:00:00,1028.700,20.707
2020/07/05 14:00:00,1028.700,21.127
2020/07/05 15:00:00,1028.700,22.020
2020/07/05 16:00:00,1028.750,21.440
2020/07/05 17:00:00,1028.350,22.863
2020/07/05 18:00:00,1028.175,23.863
2020/07/05 19:00:00,1027.750,23.963
2020/07/05 20:00:00,1027.400,22.597
2020/07/05 21:00:00,1027.575,21.463
2020/07/05 22:00:00,1028.350,19.580
2020/07/05 23:00:00,1028.575,18.543
2020/07/06 00:00:00,1028.925,17.220
2020/07/06 01:00:00,1029.400,16.317
2020/07/06 02:00:00,1029.525,15.597
2020/07/06 03:00:00,1029.625,15.143
2020/07/06 04:00:00,1029.400,14.543
2020/07/06 05:00:00,1029.525,13.893
2020/07/06 06:00:00,1029.800,13.457
2020/07/06 07:00:00,1030.225,13.613
2020/07/06 08:00:00,1030.925,14.277
2020/07/06 09:00:00,1031.325,15.260
2020/07/06 10:00:00,1031.925,16.197
2020/07/06 11:00:00,1032.225,16.900
2020/07/06 12:00:00,1033.025,16.603
2020/07/06 13:00:00,1033.625,18.113
2020/07/06 14:00:00,1033.750,19.917
2020/07/06 15:00:00,1033.925,22.300
2020/07/06 16:00:00,1034.925,19.090
2020/07/06 17:00:00,1035.575,19.137
2020/07/06 18:00:00,1035.975,20.480
2020/07/06 19:00:00,1036.200,19.330
2020/07/06 20:00:00,1036.800,18.487
2020/07/06 21:00:00,1037.450,18.243
2020/07/06 22:00:00,1037.725,17.160
2020/07/06 23:00:00,1038.025,16.417
2020/07/07 00:00:00,1038.375,16.253
2020/07/07 01:00:00,1038.475,15.340
2020/07/07 02:00:00,1038.550,14.127
2020/07/07 03:00:00,1038.425,12.697
2020/07/07 04:00:00,1038.300,12.363
2020/07/07 05:00:00,1038.125,12.150
2020/07/07 06:00:00,1037.850,11.237
2020/07/07 07:00:00,1038.250,12.777
2020/07/07 08:00:00,1038.250,13.307
2020/07/07 09:00:00,1037.950,14.620
2020/07/07 10:00:00,1037.775,16.760
2020/07/07 11:00:00,1037.725,17.980
2020/07/07 12:00:00,1037.150,20.003
2020/07/07 13:00:00,1037.025,20.487
2020/07/07 14:00:00,1036.625,20.770
2020/07/07 15:00:00,1036.375,20.620
2020/07/07 16:00:00,1036.500,21.213
2020/07/07 17:00:00,1035.925,21.923
2020/07/07 18:00:00,1035.625,21.980
2020/07/07 19:00:00,1035.100,21.143
2020/07/07 20:00:00,1034.675,20.143
2020/07/07 21:00:00,1034.150,18.737
2020/07/07 22:00:00,1034.050,18.190
2020/07/07 23:00:00,1033.575,17.743
2020/07/08 00:00:00,1034.275,17.580
2020/07/08 01:00:00,1033.625,16.213
2020/07/08 02:00:00,1033.275,15.823
2020/07/08 03:00:00,1032.875,16.330
2020/07/08 04:00:00,1032.275,15.830
2020/07/08 05:00:00,1032.275,15.550
2020/07/08 06:00:00,1032.450,14.370
2020/07/08 07:00:00,1032.575,13.603
2020/07/08 08:00:00,1032.225,13.830
2020/07/08 09:00:00,1032.100,13.830
2020/07/08 10:00:00,1032.750,14.470
2020/07/08 11:00:00,1032.675,14.143
2020/07/08 12:00:00,1032.625,14.603
2020/07/08 13:00:00,1032.750,16.650
2020/07/08 14:00:00,1032.575,16.057
2020/07/08 15:00:00,1032.850,16.113
2020/07/08 16:00:00,1033.150,16.823
2020/07/08 17:00:00,1032.925,16.993
2020/07/08 18:00:00,1032.625,17.447
2020/07/08 19:00:00,1032.450,17.550
2020/07/08 20:00:00,1032.450,17.027
2020/07/08 21:00:00,1032.275,17.137
2020/07/08 22:00:00,1032.325,16.637
2020/07/08 23:00:00,1032.575,16.213
2020/07/09 00:00:00,1032.400,15.993
2020/07/09 01:00:00,1031.925,16.057
2020/07/09 02:00:00,1031.400,16.220
2020/07/09 03:00:00,1031.575,16.317
2020/07/09 04:00:00,1030.975,16.433
2020/07/09 05:00:00,1030.800,16.543
2020/07/09 06:00:00,1030.750,16.543
2020/07/09 07:00:00,1030.525,16.613
2020/07/09 08:00:00,1030.525,17.207
2020/07/09 09:00:00,1030.350,17.487
2020/07/09 10:00:00,1030.450,17.917
2020/07/09 11:00:00,1030.400,18.800
2020/07/09 12:00:00,1030.400,19.580
2020/07/09 13:00:00,1030.450,21.300
2020/07/09 14:00:00,1030.225,21.667
2020/07/09 15:00:00,1030.000,21.520
2020/07/09 16:00:00,1029.925,22.853
2020/07/09 17:00:00,1029.750,22.590
2020/07/09 18:00:00,1029.175,22.400
2020/07/09 19:00:00,1028.650,22.493
2020/07/09 20:00:00,1028.650,22.707
2020/07/09 21:00:00,1028.000,21.993
2020/07/09 22:00:00,1027.700,20.113
2020/07/09 23:00:00,1027.700,19.260
2020/07/10 00:00:00,1027.075,18.667
2020/07/10 01:00:00,1027.000,18.527
2020/07/10 02:00:00,1026.650,18.737
2020/07/10 03:00:00,1026.000,19.010
2020/07/10 04:00:00,1025.350,18.830
2020/07/10 05:00:00,1024.775,18.503
2020/07/10 06:00:00,1024.850,18.143
2020/07/10 07:00:00,1024.900,17.963
2020/07/10 08:00:00,1025.125,17.627
2020/07/10 09:00:00,1025.650,17.620
2020/07/10 10:00:00,1026.300,17.573
2020/07/10 11:00:00,1027.700,18.690
2020/07/10 12:00:00,1029.225,18.463
2020/07/10 13:00:00,1030.175,20.323
2020/07/10 14:00:00,1031.225,23.777
2020/07/10 15:00:00,1032.150,20.150
