Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 27/04/2022
TIME       : 18:30:19
FILENAME   : G:\My Drive\Kinrooi_FieldData\DiverOffice\20220421_3\CSV\PB01A_moni_AV319_220427183019_AV319.CSV
CREATED BY : Diver-Office 11.2.0.10
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =TD-Diver=19
  Status                  =Started =0
  Serial number           =..00-AV319  219.
  Instrument number       =          UTC+2
                          =0
  Location                =PB01A_moni_AV319
  Sample period           =H01
  Sample method           =T
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   �C
  Range                   =100.000   �C


[Series settings]
  Serial number           =..00-AV319  219.
  Instrument number       =          UTC+2
  Location                =PB01A_moni_AV319
  Sample period           =00 01:00:00 0
  Sample method           =T
  Start date / time       =00:00:06 04/07/20
  End date / time         =00:00:11 30/03/22
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   �C
  Range                   =100.000   �C


Date/time,Pressure[cmH2O],Temperature[�C]
2020/07/04 06:00:00,1242.625,12.103
2020/07/04 07:00:00,1242.217,12.103
2020/07/04 08:00:00,1242.508,12.103
2020/07/04 09:00:00,1242.508,12.103
2020/07/04 10:00:00,1241.517,12.103
2020/07/04 11:00:00,1241.108,12.110
2020/07/04 12:00:00,1241.342,12.103
2020/07/04 13:00:00,1241.342,12.110
2020/07/04 14:00:00,1240.817,12.117
2020/07/04 15:00:00,1240.117,12.110
2020/07/04 16:00:00,1240.117,12.127
2020/07/04 17:00:00,1239.825,12.127
2020/07/04 18:00:00,1239.417,12.117
2020/07/04 19:00:00,1239.125,12.127
2020/07/04 20:00:00,1239.533,12.133
2020/07/04 21:00:00,1239.008,12.133
2020/07/04 22:00:00,1239.533,12.140
2020/07/04 23:00:00,1239.533,12.133
2020/07/05 00:00:00,1239.417,12.140
2020/07/05 01:00:00,1239.300,12.133
2020/07/05 02:00:00,1239.300,12.150
2020/07/05 03:00:00,1239.125,12.157
2020/07/05 04:00:00,1239.125,12.157
2020/07/05 05:00:00,1238.833,12.140
2020/07/05 06:00:00,1238.833,12.157
2020/07/05 07:00:00,1239.125,12.157
2020/07/05 08:00:00,1239.417,12.163
2020/07/05 09:00:00,1239.533,12.157
2020/07/05 10:00:00,1239.417,12.163
2020/07/05 11:00:00,1238.833,12.173
2020/07/05 12:00:00,1238.717,12.157
2020/07/05 13:00:00,1238.600,12.163
2020/07/05 14:00:00,1238.717,12.173
2020/07/05 15:00:00,1238.133,12.173
2020/07/05 16:00:00,1238.425,12.180
2020/07/05 17:00:00,1237.900,12.173
2020/07/05 18:00:00,1237.725,12.180
2020/07/05 19:00:00,1236.792,12.173
2020/07/05 20:00:00,1236.792,12.197
2020/07/05 21:00:00,1236.792,12.173
2020/07/05 22:00:00,1237.608,12.197
2020/07/05 23:00:00,1238.017,12.187
2020/07/06 00:00:00,1238.425,12.197
2020/07/06 01:00:00,1238.717,12.187
2020/07/06 02:00:00,1238.717,12.197
2020/07/06 03:00:00,1238.833,12.197
2020/07/06 04:00:00,1239.300,12.210
2020/07/06 05:00:00,1239.417,12.210
2020/07/06 06:00:00,1239.708,12.210
2020/07/06 07:00:00,1240.000,12.197
2020/07/06 08:00:00,1240.642,12.220
2020/07/06 09:00:00,1240.642,12.227
2020/07/06 10:00:00,1240.933,12.220
2020/07/06 11:00:00,1240.817,12.203
2020/07/06 12:00:00,1241.225,12.227
2020/07/06 13:00:00,1241.108,12.220
2020/07/06 14:00:00,1240.933,12.227
2020/07/06 15:00:00,1240.933,12.210
2020/07/06 16:00:00,1241.925,12.227
2020/07/06 17:00:00,1242.333,12.227
2020/07/06 18:00:00,1241.925,12.227
2020/07/06 19:00:00,1242.217,12.233
2020/07/06 20:00:00,1242.742,12.233
2020/07/06 21:00:00,1243.033,12.233
2020/07/06 22:00:00,1243.617,12.243
2020/07/06 23:00:00,1244.550,12.243
2020/07/07 00:00:00,1244.725,12.233
2020/07/07 01:00:00,1245.133,12.250
2020/07/07 02:00:00,1245.017,12.260
2020/07/07 03:00:00,1245.250,12.243
2020/07/07 04:00:00,1245.250,12.250
2020/07/07 05:00:00,1245.250,12.273
2020/07/07 06:00:00,1245.017,12.267
2020/07/07 07:00:00,1245.542,12.260
2020/07/07 08:00:00,1245.717,12.260
2020/07/07 09:00:00,1245.133,12.260
2020/07/07 10:00:00,1245.017,12.273
2020/07/07 11:00:00,1244.433,12.267
2020/07/07 12:00:00,1243.617,12.267
2020/07/07 13:00:00,1242.742,12.283
2020/07/07 14:00:00,1242.333,12.283
2020/07/07 15:00:00,1242.333,12.290
2020/07/07 16:00:00,1241.925,12.290
2020/07/07 17:00:00,1241.225,12.297
2020/07/07 18:00:00,1240.817,12.273
2020/07/07 19:00:00,1240.408,12.273
2020/07/07 20:00:00,1240.000,12.290
2020/07/07 21:00:00,1239.417,12.290
2020/07/07 22:00:00,1239.533,12.290
2020/07/07 23:00:00,1239.533,12.297
2020/07/08 00:00:00,1240.525,12.297
2020/07/08 01:00:00,1240.000,12.297
2020/07/08 02:00:00,1239.825,12.297
2020/07/08 03:00:00,1239.708,12.313
2020/07/08 04:00:00,1239.417,12.297
2020/07/08 05:00:00,1239.825,12.313
2020/07/08 06:00:00,1239.708,12.307
2020/07/08 07:00:00,1240.408,12.313
2020/07/08 08:00:00,1240.117,12.307
2020/07/08 09:00:00,1240.233,12.320
2020/07/08 10:00:00,1240.817,12.320
2020/07/08 11:00:00,1240.933,12.313
2020/07/08 12:00:00,1241.108,12.313
2020/07/08 13:00:00,1240.933,12.320
2020/07/08 14:00:00,1240.933,12.320
2020/07/08 15:00:00,1241.925,12.337
2020/07/08 16:00:00,1241.925,12.330
2020/07/08 17:00:00,1241.808,12.330
2020/07/08 18:00:00,1241.108,12.337
2020/07/08 19:00:00,1241.517,12.337
2020/07/08 20:00:00,1241.925,12.320
2020/07/08 21:00:00,1241.808,12.343
2020/07/08 22:00:00,1242.217,12.337
2020/07/08 23:00:00,1242.742,12.343
2020/07/09 00:00:00,1242.742,12.343
2020/07/09 01:00:00,1242.450,12.360
2020/07/09 02:00:00,1242.042,12.353
2020/07/09 03:00:00,1242.217,12.343
2020/07/09 04:00:00,1241.808,12.343
2020/07/09 05:00:00,1242.042,12.353
2020/07/09 06:00:00,1242.042,12.353
2020/07/09 07:00:00,1242.042,12.353
2020/07/09 08:00:00,1241.633,12.360
2020/07/09 09:00:00,1241.925,12.367
2020/07/09 10:00:00,1241.925,12.383
2020/07/09 11:00:00,1241.517,12.360
2020/07/09 12:00:00,1241.342,12.367
2020/07/09 13:00:00,1241.225,12.367
2020/07/09 14:00:00,1241.225,12.377
2020/07/09 15:00:00,1240.525,12.377
2020/07/09 16:00:00,1240.525,12.383
2020/07/09 17:00:00,1239.825,12.383
2020/07/09 18:00:00,1239.008,12.377
2020/07/09 19:00:00,1238.133,12.383
2020/07/09 20:00:00,1238.425,12.377
2020/07/09 21:00:00,1237.900,12.390
2020/07/09 22:00:00,1238.600,12.400
2020/07/09 23:00:00,1238.308,12.390
2020/07/10 00:00:00,1238.133,12.400
2020/07/10 01:00:00,1238.017,12.400
2020/07/10 02:00:00,1238.133,12.400
2020/07/10 03:00:00,1237.608,12.390
2020/07/10 04:00:00,1237.317,12.407
2020/07/10 05:00:00,1237.025,12.390
2020/07/10 06:00:00,1236.792,12.413
2020/07/10 07:00:00,1237.025,12.400
2020/07/10 08:00:00,1237.025,12.423
2020/07/10 09:00:00,1238.308,12.413
2020/07/10 10:00:00,1238.133,12.407
2020/07/10 11:00:00,1239.417,12.407
2020/07/10 12:00:00,1240.642,12.413
2020/07/10 13:00:00,1240.642,12.423
2020/07/10 14:00:00,1241.108,12.413
2020/07/10 15:00:00,1241.517,12.413
2020/07/10 16:00:00,1242.333,12.430
2020/07/10 17:00:00,1242.042,12.423
2020/07/10 18:00:00,1242.333,12.423
2020/07/10 19:00:00,1242.333,12.447
2020/07/10 20:00:00,1242.625,12.423
2020/07/10 21:00:00,1243.150,12.430
2020/07/10 22:00:00,1243.850,12.430
2020/07/10 23:00:00,1244.725,12.437
2020/07/11 00:00:00,1245.017,12.437
2020/07/11 01:00:00,1245.542,12.447
2020/07/11 02:00:00,1246.125,12.447
2020/07/11 03:00:00,1246.650,12.447
2020/07/11 04:00:00,1246.650,12.447
2020/07/11 05:00:00,1246.825,12.447
2020/07/11 06:00:00,1247.642,12.447
2020/07/11 07:00:00,1247.642,12.453
2020/07/11 08:00:00,1248.342,12.447
2020/07/11 09:00:00,1248.633,12.453
2020/07/11 10:00:00,1248.633,12.453
2020/07/11 11:00:00,1248.342,12.447
2020/07/11 12:00:00,1248.342,12.453
2020/07/11 13:00:00,1248.050,12.453
2020/07/11 14:00:00,1247.758,12.477
2020/07/11 15:00:00,1247.350,12.460
2020/07/11 16:00:00,1247.350,12.470
2020/07/11 17:00:00,1247.642,12.477
2020/07/11 18:00:00,1247.642,12.477
2020/07/11 19:00:00,1247.933,12.483
2020/07/11 20:00:00,1247.758,12.477
2020/07/11 21:00:00,1247.758,12.470
2020/07/11 22:00:00,1248.225,12.477
2020/07/11 23:00:00,1248.750,12.477
2020/07/12 00:00:00,1249.333,12.477
2020/07/12 01:00:00,1249.567,12.477
2020/07/12 02:00:00,1249.742,12.477
2020/07/12 03:00:00,1250.033,12.493
2020/07/12 04:00:00,1249.858,12.483
2020/07/12 05:00:00,1250.267,12.493
2020/07/12 06:00:00,1250.733,12.493
2020/07/12 07:00:00,1250.558,12.493
2020/07/12 08:00:00,1251.958,12.493
2020/07/12 09:00:00,1251.667,12.500
2020/07/12 10:00:00,1252.075,12.493
